Name	Slice LUTs	Slice Registers	F7 Muxes	F8 Muxes	Slice	LUT as Logic	LUT as Memory	Block RAM Tile	DSPs	Bonded IOB	Bonded IPADs	PHY_CONTROL	PHASER_REF	OUT_FIFO	IN_FIFO	IDELAYCTRL	IBUFDS	PHASER_OUT/PHASER_OUT_PHY	PHASER_IN/PHASER_IN_PHY	IDELAYE2/IDELAYE2_FINEDELAY	ILOGIC	OLOGIC	BUFGCTRL	BUFIO	MMCME2_ADV	PLLE2_ADV	BUFMRCE	BUFHCE	BUFR	BSCANE2	CAPTUREE2	DNA_PORT	EFUSE_USR	FRAME_ECCE2	ICAPE2	PCIE_2_1	STARTUPE2	XADC
Salsa20	2582	2590	128	64	977	2582	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salsa20DoubleKeys (Salsa20DoubleKeys)	2582	2200	128	64	944	2582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salsa20Key (Salsa20Key)	2249	1096	0	0	632	2249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salsa20Hash (Salsa20Hash)	2248	1030	0	0	625	2248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salsa20DoubleRound (Salsa20DoubleRound)	2136	0	0	0	584	2136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RowRound0 (Salsa20RowRound)	1107	0	0	0	380	1107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QuarterRound3 (Salsa20QuarterRound_2)	299	0	0	0	129	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QuarterRound2 (Salsa20QuarterRound_1)	236	0	0	0	104	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QuarterRound1 (Salsa20QuarterRound_0)	286	0	0	0	109	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QuarterRound0 (Salsa20QuarterRound)	286	0	0	0	114	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ColumnRound (Salsa20ColumnRound)	1153	0	0	0	338	1153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QuarterRound3 (Salsa20QuarterRound_6)	304	0	0	0	90	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QuarterRound2 (Salsa20QuarterRound_5)	306	0	0	0	96	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QuarterRound1 (Salsa20QuarterRound_4)	240	0	0	0	67	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QuarterRound0 (Salsa20QuarterRound_3)	303	0	0	0	88	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
